시군명,상호명,업종코드,업태명,업종명(종목명),소재지도로명주소,소재지지번주소,전화번호,사용가능한지역화폐명,지류형지역화폐사용가능여부,카드형지역화폐사용가능여부,모바일형지역화폐사용가능여부,우편번호,위도,경도,데이터기준일자
성남시,대박생활용품,,,,경기도 성남시 중원구 산성대로 198,경기도 성남시 중원구 성남동 2164번지,031-739-8855,성남사랑상품권,Y,Y,,13357,37.4367165,127.1404844,2018-12-31
성남시,베스트,,,,경기도 성남시 중원구 산성대로 200,경기도 성남시 중원구 성남동 2149번지,031-744-7338,성남사랑상품권,Y,Y,,13357,37.4368874,127.1406542,2018-12-31
성남시,㈜라보종합주방,,,,경기도 성남시 중원구 산성대로 202,경기도 성남시 중원구 성남동 2147번지,031-759-2300,성남사랑상품권,Y,Y,,13357,37.4370223,127.1409369,2018-12-31
성남시,싱싱야채,,,,경기도 성남시 중원구 산성대로 204,경기도 성남시 중원구 성남동 2144번지,,성남사랑상품권,Y,Y,,13357,37.4371121,127.1411292,2018-12-31
성남시,수진역할인마트,,,,경기도 성남시 중원구 산성대로 208,경기도 성남시 중원구 성남동 2126번지,031-757-7789,성남사랑상품권,Y,Y,,13358,37.4373816,127.1418189,2018-12-31
성남시,성남건어물,,,,경기도 성남시 중원구 산성대로 216,경기도 성남시 중원구 성남동 2107번지,031-751-2951,성남사랑상품권,Y,Y,,13358,37.4377233,127.1424636,2018-12-31
성남시,종선별미,,,,경기도 성남시 중원구 산성대로 228,경기도 성남시 중원구 성남동 2067번지,031-752-7545,성남사랑상품권,Y,Y,,13358,37.438272,127.143233,2018-12-31
성남시,해신생닭,,,,경기도 성남시 중원구 산성대로 228,경기도 성남시 중원구 성남동 2067번지,031-751-3325,성남사랑상품권,Y,Y,,13358,37.438272,127.143233,2018-12-31
성남시,형제떡방앗간,,,,경기도 성남시 중원구 산성대로 228,경기도 성남시 중원구 성남동 2067번지,031-751-4291,성남사랑상품권,Y,Y,,13358,37.438272,127.143233,2018-12-31
성남시,성남상회,,,,경기도 성남시 중원구 산성대로 228-1,경기도 성남시 중원구 성남동 2068번지,031-751-2371,성남사랑상품권,Y,Y,,13358,37.4383348,127.14338,2018-12-31
성남시,충남상회,,,,경기도 성남시 중원구 산성대로 230,경기도 성남시 중원구 성남동 2064번지,031-756-2384,성남사랑상품권,Y,Y,,13358,37.4384969,127.143482,2018-12-31
성남시,경안식품,,,,경기도 성남시 중원구 산성대로 232,경기도 성남시 중원구 성남동 2070번지,031-751-4382,성남사랑상품권,Y,Y,,13358,37.4383884,127.1437869,2018-12-31
성남시,놀부부대찌개&철판구이,,,,경기도 성남시 중원구 성남대로997번길 25-2,경기도 성남시 중원구 여수동 369번지,031-722-5988,성남사랑상품권,Y,Y,,13439,37.4182531,127.1257087,2018-12-31
성남시,폭풍낙지,,,,경기도 성남시 중원구 성남대로997번길 25-3,경기도 성남시 중원구 여수동 217번지,031-751-1660,성남사랑상품권,Y,Y,,13439,37.4184961,127.1259915,2018-12-31
성남시,어반프레소,,,,경기도 성남시 중원구 성남대로997번길 25-7,경기도 성남시 중원구 여수동 215번지,070-7721-9004,성남사랑상품권,Y,Y,,13439,37.4184687,127.126353,2018-12-31
성남시,아임초콜릿티어,,,,경기도 성남시 중원구 성남대로997번길 25-9,경기도 성남시 중원구 여수동 214번지,070-8273-4347,성남사랑상품권,Y,Y,,13439,37.4182795,127.1263526,2018-12-31
성남시,정직한 대게,,,,경기도 성남시 중원구 성남대로997번길 27-14,경기도 성남시 중원구 여수동 245번지,031-722-0377,성남사랑상품권,Y,Y,,13439,37.4181911,127.1247371,2018-12-31
성남시,사랑채샤브샤브,,,,경기도 성남시 중원구 성남대로997번길 27-18,경기도 성남시 중원구 여수동 247번지,031-751-0022,성남사랑상품권,Y,Y,,13439,37.4178577,127.1247366,2018-12-31
